"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"5759","Native 1",45,"continuation","fp",1,687,"Native","continuation fp",0,687,"Ambiguous","Consistent"
"5760","Native 1",29,"continuation","fp",1,1421,"Native","continuation fp",0,1421,"Ambiguous","Consistent"
"5763","Native 1",34,"continuation","fp",2,881,"Native","continuation fp",0,881,"Unambiguous","Consistent"
"5766","Native 1",36,"continuation","fp",4,375,"Native","continuation fp",0,375,"Unambiguous","Inconsistent"
"5768","Native 1",25,"continuation","fp",1,457,"Native","continuation fp",0,457,"Ambiguous","Consistent"
"5770","Native 1",42,"continuation","fp",2,566,"Native","continuation fp",0,566,"Unambiguous","Consistent"
"5774","Native 1",41,"continuation","fp",1,1012,"Native","continuation fp",0,1012,"Ambiguous","Consistent"
"5776","Native 1",46,"continuation","fp",2,849,"Native","continuation fp",0,849,"Unambiguous","Consistent"
"5778","Native 1",47,"continuation","fp",3,743,"Native","continuation fp",0,743,"Ambiguous","Inconsistent"
"5780","Native 1",39,"continuation","fp",3,663,"Native","continuation fp",0,663,"Ambiguous","Inconsistent"
"5781","Native 1",35,"continuation","fp",3,466,"Native","continuation fp",0,466,"Ambiguous","Inconsistent"
"5783","Native 1",48,"continuation","fp",4,928,"Native","continuation fp",0,928,"Unambiguous","Inconsistent"
"5784","Native 1",27,"continuation","fp",3,478,"Native","continuation fp",0,478,"Ambiguous","Inconsistent"
"5786","Native 1",31,"continuation","fp",3,291,"Native","continuation fp",0,291,"Ambiguous","Inconsistent"
"5789","Native 1",40,"continuation","fp",4,206,"Native","continuation fp",0,206,"Unambiguous","Inconsistent"
"5790","Native 1",38,"continuation","fp",2,272,"Native","continuation fp",0,272,"Unambiguous","Consistent"
"5791","Native 1",30,"continuation","fp",2,1175,"Native","continuation fp",0,1175,"Unambiguous","Consistent"
"5793","Native 1",32,"continuation","fp",4,439,"Native","continuation fp",0,439,"Unambiguous","Inconsistent"
"5797","Native 1",44,"continuation","fp",4,957,"Native","continuation fp",0,957,"Unambiguous","Inconsistent"
"5798","Native 1",37,"continuation","fp",1,1381,"Native","continuation fp",0,1381,"Ambiguous","Consistent"
"5799","Native 1",28,"continuation","fp",4,265,"Native","continuation fp",0,265,"Unambiguous","Inconsistent"
"5802","Native 1",26,"continuation","fp",2,846,"Native","continuation fp",0,846,"Unambiguous","Consistent"
"5803","Native 1",33,"continuation","fp",1,837,"Native","continuation fp",0,837,"Ambiguous","Consistent"
"5805","Native 1",43,"continuation","fp",3,454,"Native","continuation fp",0,454,"Ambiguous","Inconsistent"
"5806","Native 2",45,"continuation","fp",2,0,"Native","continuation fp",1,NA,"Unambiguous","Consistent"
"5807","Native 2",39,"continuation","fp",4,378,"Native","continuation fp",0,378,"Unambiguous","Inconsistent"
"5808","Native 2",48,"continuation","fp",1,383,"Native","continuation fp",0,383,"Ambiguous","Consistent"
"5814","Native 2",32,"continuation","fp",1,125,"Native","continuation fp",0,125,"Ambiguous","Consistent"
"5815","Native 2",26,"continuation","fp",3,658,"Native","continuation fp",0,658,"Ambiguous","Inconsistent"
"5816","Native 2",42,"continuation","fp",3,1257,"Native","continuation fp",0,1257,"Ambiguous","Inconsistent"
"5819","Native 2",37,"continuation","fp",2,314,"Native","continuation fp",0,314,"Unambiguous","Consistent"
"5820","Native 2",31,"continuation","fp",4,98,"Native","continuation fp",0,98,"Unambiguous","Inconsistent"
"5823","Native 2",25,"continuation","fp",2,0,"Native","continuation fp",1,NA,"Unambiguous","Consistent"
"5824","Native 2",38,"continuation","fp",3,269,"Native","continuation fp",0,269,"Ambiguous","Inconsistent"
"5825","Native 2",35,"continuation","fp",4,119,"Native","continuation fp",0,119,"Unambiguous","Inconsistent"
"5826","Native 2",41,"continuation","fp",2,330,"Native","continuation fp",0,330,"Unambiguous","Consistent"
"5828","Native 2",34,"continuation","fp",3,292,"Native","continuation fp",0,292,"Ambiguous","Inconsistent"
"5829","Native 2",43,"continuation","fp",4,275,"Native","continuation fp",0,275,"Unambiguous","Inconsistent"
"5831","Native 2",33,"continuation","fp",2,351,"Native","continuation fp",0,351,"Unambiguous","Consistent"
"5832","Native 2",40,"continuation","fp",1,632,"Native","continuation fp",0,632,"Ambiguous","Consistent"
"5835","Native 2",30,"continuation","fp",3,478,"Native","continuation fp",0,478,"Ambiguous","Inconsistent"
