"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"15354","Native 1",45,"continuation","rp",1,687,"Native","continuation rp",0,687,"Ambiguous","Consistent"
"15355","Native 1",29,"continuation","rp",1,1421,"Native","continuation rp",0,1421,"Ambiguous","Consistent"
"15358","Native 1",34,"continuation","rp",2,881,"Native","continuation rp",0,881,"Unambiguous","Consistent"
"15361","Native 1",36,"continuation","rp",4,375,"Native","continuation rp",0,375,"Unambiguous","Inconsistent"
"15363","Native 1",25,"continuation","rp",1,457,"Native","continuation rp",0,457,"Ambiguous","Consistent"
"15365","Native 1",42,"continuation","rp",2,566,"Native","continuation rp",0,566,"Unambiguous","Consistent"
"15369","Native 1",41,"continuation","rp",1,1012,"Native","continuation rp",0,1012,"Ambiguous","Consistent"
"15371","Native 1",46,"continuation","rp",2,849,"Native","continuation rp",0,849,"Unambiguous","Consistent"
"15373","Native 1",47,"continuation","rp",3,1753,"Native","continuation rp",0,1753,"Ambiguous","Inconsistent"
"15375","Native 1",39,"continuation","rp",3,663,"Native","continuation rp",0,663,"Ambiguous","Inconsistent"
"15376","Native 1",35,"continuation","rp",3,1183,"Native","continuation rp",0,1183,"Ambiguous","Inconsistent"
"15378","Native 1",48,"continuation","rp",4,928,"Native","continuation rp",0,928,"Unambiguous","Inconsistent"
"15379","Native 1",27,"continuation","rp",3,478,"Native","continuation rp",0,478,"Ambiguous","Inconsistent"
"15381","Native 1",31,"continuation","rp",3,291,"Native","continuation rp",0,291,"Ambiguous","Inconsistent"
"15384","Native 1",40,"continuation","rp",4,206,"Native","continuation rp",0,206,"Unambiguous","Inconsistent"
"15385","Native 1",38,"continuation","rp",2,272,"Native","continuation rp",0,272,"Unambiguous","Consistent"
"15386","Native 1",30,"continuation","rp",2,1175,"Native","continuation rp",0,1175,"Unambiguous","Consistent"
"15388","Native 1",32,"continuation","rp",4,439,"Native","continuation rp",0,439,"Unambiguous","Inconsistent"
"15392","Native 1",44,"continuation","rp",4,957,"Native","continuation rp",0,957,"Unambiguous","Inconsistent"
"15393","Native 1",37,"continuation","rp",1,1381,"Native","continuation rp",0,1381,"Ambiguous","Consistent"
"15394","Native 1",28,"continuation","rp",4,265,"Native","continuation rp",0,265,"Unambiguous","Inconsistent"
"15397","Native 1",26,"continuation","rp",2,846,"Native","continuation rp",0,846,"Unambiguous","Consistent"
"15398","Native 1",33,"continuation","rp",1,837,"Native","continuation rp",0,837,"Ambiguous","Consistent"
"15400","Native 1",43,"continuation","rp",3,454,"Native","continuation rp",0,454,"Ambiguous","Inconsistent"
"15401","Native 2",45,"continuation","rp",2,0,"Native","continuation rp",1,NA,"Unambiguous","Consistent"
"15402","Native 2",39,"continuation","rp",4,378,"Native","continuation rp",0,378,"Unambiguous","Inconsistent"
"15403","Native 2",48,"continuation","rp",1,383,"Native","continuation rp",0,383,"Ambiguous","Consistent"
"15409","Native 2",32,"continuation","rp",1,1077,"Native","continuation rp",0,1077,"Ambiguous","Consistent"
"15410","Native 2",26,"continuation","rp",3,658,"Native","continuation rp",0,658,"Ambiguous","Inconsistent"
"15411","Native 2",42,"continuation","rp",3,1257,"Native","continuation rp",0,1257,"Ambiguous","Inconsistent"
"15414","Native 2",37,"continuation","rp",2,7330,"Native","continuation rp",0,7330,"Unambiguous","Consistent"
"15415","Native 2",31,"continuation","rp",4,1160,"Native","continuation rp",0,1160,"Unambiguous","Inconsistent"
"15418","Native 2",25,"continuation","rp",2,0,"Native","continuation rp",1,NA,"Unambiguous","Consistent"
"15419","Native 2",38,"continuation","rp",3,269,"Native","continuation rp",0,269,"Ambiguous","Inconsistent"
"15420","Native 2",35,"continuation","rp",4,8702,"Native","continuation rp",0,8702,"Unambiguous","Inconsistent"
"15421","Native 2",41,"continuation","rp",2,330,"Native","continuation rp",0,330,"Unambiguous","Consistent"
"15423","Native 2",34,"continuation","rp",3,292,"Native","continuation rp",0,292,"Ambiguous","Inconsistent"
"15424","Native 2",43,"continuation","rp",4,275,"Native","continuation rp",0,275,"Unambiguous","Inconsistent"
"15426","Native 2",33,"continuation","rp",2,1030,"Native","continuation rp",0,1030,"Unambiguous","Consistent"
"15427","Native 2",40,"continuation","rp",1,632,"Native","continuation rp",0,632,"Ambiguous","Consistent"
"15430","Native 2",30,"continuation","rp",3,478,"Native","continuation rp",0,478,"Ambiguous","Inconsistent"
"15431","Native 2",27,"continuation","rp",4,552,"Native","continuation rp",0,552,"Unambiguous","Inconsistent"
"15434","Native 2",36,"continuation","rp",1,443,"Native","continuation rp",0,443,"Ambiguous","Consistent"
"15435","Native 2",28,"continuation","rp",1,854,"Native","continuation rp",0,854,"Ambiguous","Consistent"
"15439","Native 2",44,"continuation","rp",1,868,"Native","continuation rp",0,868,"Ambiguous","Consistent"
"15440","Native 2",29,"continuation","rp",2,1135,"Native","continuation rp",0,1135,"Unambiguous","Consistent"
"15444","Native 2",47,"continuation","rp",4,1924,"Native","continuation rp",0,1924,"Unambiguous","Inconsistent"
"15446","Native 2",46,"continuation","rp",3,960,"Native","continuation rp",0,960,"Ambiguous","Inconsistent"
"15449","Native 3",46,"continuation","rp",4,674,"Native","continuation rp",0,674,"Unambiguous","Inconsistent"
"15450","Native 3",43,"continuation","rp",1,695,"Native","continuation rp",0,695,"Ambiguous","Consistent"
"15452","Native 3",39,"continuation","rp",1,781,"Native","continuation rp",0,781,"Ambiguous","Consistent"
"15453","Native 3",33,"continuation","rp",3,1114,"Native","continuation rp",0,1114,"Ambiguous","Inconsistent"
"15455","Native 3",31,"continuation","rp",1,694,"Native","continuation rp",0,694,"Ambiguous","Consistent"
"15456","Native 3",29,"continuation","rp",3,393,"Native","continuation rp",0,393,"Ambiguous","Inconsistent"
"15457","Native 3",44,"continuation","rp",2,498,"Native","continuation rp",0,498,"Unambiguous","Consistent"
"15462","Native 3",27,"continuation","rp",1,842,"Native","continuation rp",0,842,"Ambiguous","Consistent"
"15465","Native 3",45,"continuation","rp",3,605,"Native","continuation rp",0,605,"Ambiguous","Inconsistent"
"15466","Native 3",37,"continuation","rp",3,482,"Native","continuation rp",0,482,"Ambiguous","Inconsistent"
"15467","Native 3",36,"continuation","rp",2,0,"Native","continuation rp",1,NA,"Unambiguous","Consistent"
"15468","Native 3",32,"continuation","rp",2,1310,"Native","continuation rp",0,1310,"Unambiguous","Consistent"
"15469","Native 3",25,"continuation","rp",3,343,"Native","continuation rp",0,343,"Ambiguous","Inconsistent"
