"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"9597","Native 1",45,"disamb","rp",1,2462,"Native","disamb rp",0,2462,"Ambiguous","Consistent"
"9598","Native 1",29,"disamb","rp",1,1303,"Native","disamb rp",0,1303,"Ambiguous","Consistent"
"9601","Native 1",34,"disamb","rp",2,0,"Native","disamb rp",1,NA,"Unambiguous","Consistent"
"9604","Native 1",36,"disamb","rp",4,357,"Native","disamb rp",0,357,"Unambiguous","Inconsistent"
"9606","Native 1",25,"disamb","rp",1,448,"Native","disamb rp",0,448,"Ambiguous","Consistent"
"9608","Native 1",42,"disamb","rp",2,181,"Native","disamb rp",0,181,"Unambiguous","Consistent"
"9612","Native 1",41,"disamb","rp",1,756,"Native","disamb rp",0,756,"Ambiguous","Consistent"
"9614","Native 1",46,"disamb","rp",2,388,"Native","disamb rp",0,388,"Unambiguous","Consistent"
"9616","Native 1",47,"disamb","rp",3,431,"Native","disamb rp",0,431,"Ambiguous","Inconsistent"
"9618","Native 1",39,"disamb","rp",3,802,"Native","disamb rp",0,802,"Ambiguous","Inconsistent"
"9619","Native 1",35,"disamb","rp",3,297,"Native","disamb rp",0,297,"Ambiguous","Inconsistent"
"9621","Native 1",48,"disamb","rp",4,744,"Native","disamb rp",0,744,"Unambiguous","Inconsistent"
"9622","Native 1",27,"disamb","rp",3,291,"Native","disamb rp",0,291,"Ambiguous","Inconsistent"
"9624","Native 1",31,"disamb","rp",3,1423,"Native","disamb rp",0,1423,"Ambiguous","Inconsistent"
"9627","Native 1",40,"disamb","rp",4,0,"Native","disamb rp",1,NA,"Unambiguous","Inconsistent"
"9628","Native 1",38,"disamb","rp",2,1021,"Native","disamb rp",0,1021,"Unambiguous","Consistent"
"9629","Native 1",30,"disamb","rp",2,456,"Native","disamb rp",0,456,"Unambiguous","Consistent"
"9631","Native 1",32,"disamb","rp",4,515,"Native","disamb rp",0,515,"Unambiguous","Inconsistent"
"9635","Native 1",44,"disamb","rp",4,686,"Native","disamb rp",0,686,"Unambiguous","Inconsistent"
"9636","Native 1",37,"disamb","rp",1,361,"Native","disamb rp",0,361,"Ambiguous","Consistent"
"9637","Native 1",28,"disamb","rp",4,857,"Native","disamb rp",0,857,"Unambiguous","Inconsistent"
"9640","Native 1",26,"disamb","rp",2,614,"Native","disamb rp",0,614,"Unambiguous","Consistent"
"9641","Native 1",33,"disamb","rp",1,480,"Native","disamb rp",0,480,"Ambiguous","Consistent"
"9643","Native 1",43,"disamb","rp",3,1186,"Native","disamb rp",0,1186,"Ambiguous","Inconsistent"
"9644","Native 2",45,"disamb","rp",2,4214,"Native","disamb rp",0,4214,"Unambiguous","Consistent"
"9645","Native 2",39,"disamb","rp",4,1185,"Native","disamb rp",0,1185,"Unambiguous","Inconsistent"
"9646","Native 2",48,"disamb","rp",1,1884,"Native","disamb rp",0,1884,"Ambiguous","Consistent"
"9652","Native 2",32,"disamb","rp",1,512,"Native","disamb rp",0,512,"Ambiguous","Consistent"
"9653","Native 2",26,"disamb","rp",3,5048,"Native","disamb rp",0,5048,"Ambiguous","Inconsistent"
"9654","Native 2",42,"disamb","rp",3,1233,"Native","disamb rp",0,1233,"Ambiguous","Inconsistent"
"9657","Native 2",37,"disamb","rp",2,142,"Native","disamb rp",0,142,"Unambiguous","Consistent"
"9658","Native 2",31,"disamb","rp",4,522,"Native","disamb rp",0,522,"Unambiguous","Inconsistent"
"9661","Native 2",25,"disamb","rp",2,1407,"Native","disamb rp",0,1407,"Unambiguous","Consistent"
"9662","Native 2",38,"disamb","rp",3,1306,"Native","disamb rp",0,1306,"Ambiguous","Inconsistent"
"9663","Native 2",35,"disamb","rp",4,969,"Native","disamb rp",0,969,"Unambiguous","Inconsistent"
"9664","Native 2",41,"disamb","rp",2,296,"Native","disamb rp",0,296,"Unambiguous","Consistent"
"9666","Native 2",34,"disamb","rp",3,240,"Native","disamb rp",0,240,"Ambiguous","Inconsistent"
"9667","Native 2",43,"disamb","rp",4,2409,"Native","disamb rp",0,2409,"Unambiguous","Inconsistent"
"9669","Native 2",33,"disamb","rp",2,2808,"Native","disamb rp",0,2808,"Unambiguous","Consistent"
"9670","Native 2",40,"disamb","rp",1,250,"Native","disamb rp",0,250,"Ambiguous","Consistent"
"9673","Native 2",30,"disamb","rp",3,1185,"Native","disamb rp",0,1185,"Ambiguous","Inconsistent"
"9674","Native 2",27,"disamb","rp",4,221,"Native","disamb rp",0,221,"Unambiguous","Inconsistent"
"9677","Native 2",36,"disamb","rp",1,163,"Native","disamb rp",0,163,"Ambiguous","Consistent"
"9678","Native 2",28,"disamb","rp",1,1356,"Native","disamb rp",0,1356,"Ambiguous","Consistent"
"9682","Native 2",44,"disamb","rp",1,259,"Native","disamb rp",0,259,"Ambiguous","Consistent"
"9683","Native 2",29,"disamb","rp",2,2618,"Native","disamb rp",0,2618,"Unambiguous","Consistent"
"9687","Native 2",47,"disamb","rp",4,258,"Native","disamb rp",0,258,"Unambiguous","Inconsistent"
"9689","Native 2",46,"disamb","rp",3,1369,"Native","disamb rp",0,1369,"Ambiguous","Inconsistent"
"9692","Native 3",46,"disamb","rp",4,335,"Native","disamb rp",0,335,"Unambiguous","Inconsistent"
"9693","Native 3",43,"disamb","rp",1,1143,"Native","disamb rp",0,1143,"Ambiguous","Consistent"
"9695","Native 3",39,"disamb","rp",1,321,"Native","disamb rp",0,321,"Ambiguous","Consistent"
"9696","Native 3",33,"disamb","rp",3,1335,"Native","disamb rp",0,1335,"Ambiguous","Inconsistent"
"9698","Native 3",31,"disamb","rp",1,547,"Native","disamb rp",0,547,"Ambiguous","Consistent"
"9699","Native 3",29,"disamb","rp",3,453,"Native","disamb rp",0,453,"Ambiguous","Inconsistent"
"9700","Native 3",44,"disamb","rp",2,246,"Native","disamb rp",0,246,"Unambiguous","Consistent"
"9705","Native 3",27,"disamb","rp",1,315,"Native","disamb rp",0,315,"Ambiguous","Consistent"
"9708","Native 3",45,"disamb","rp",3,304,"Native","disamb rp",0,304,"Ambiguous","Inconsistent"
"9709","Native 3",37,"disamb","rp",3,182,"Native","disamb rp",0,182,"Ambiguous","Inconsistent"
"9710","Native 3",36,"disamb","rp",2,396,"Native","disamb rp",0,396,"Unambiguous","Consistent"
"9711","Native 3",32,"disamb","rp",2,500,"Native","disamb rp",0,500,"Unambiguous","Consistent"
"9712","Native 3",25,"disamb","rp",3,258,"Native","disamb rp",0,258,"Ambiguous","Inconsistent"
"9713","Native 3",26,"disamb","rp",4,1398,"Native","disamb rp",0,1398,"Unambiguous","Inconsistent"
"9714","Native 3",30,"disamb","rp",4,427,"Native","disamb rp",0,427,"Unambiguous","Inconsistent"
"9715","Native 3",28,"disamb","rp",2,707,"Native","disamb rp",0,707,"Unambiguous","Consistent"
"9719","Native 3",47,"disamb","rp",1,347,"Native","disamb rp",0,347,"Ambiguous","Consistent"
"9725","Native 3",48,"disamb","rp",2,256,"Native","disamb rp",0,256,"Unambiguous","Consistent"
"9727","Native 3",34,"disamb","rp",4,247,"Native","disamb rp",0,247,"Unambiguous","Inconsistent"
"9728","Native 3",38,"disamb","rp",4,325,"Native","disamb rp",0,325,"Unambiguous","Inconsistent"
"9729","Native 3",42,"disamb","rp",4,250,"Native","disamb rp",0,250,"Unambiguous","Inconsistent"
"9730","Native 3",35,"disamb","rp",1,430,"Native","disamb rp",0,430,"Ambiguous","Consistent"
"9734","Native 3",40,"disamb","rp",2,260,"Native","disamb rp",0,260,"Unambiguous","Consistent"
"9737","Native 3",41,"disamb","rp",3,0,"Native","disamb rp",1,NA,"Ambiguous","Inconsistent"
"9742","Native 4",39,"disamb","rp",2,472,"Native","disamb rp",0,472,"Unambiguous","Consistent"
"9743","Native 4",27,"disamb","rp",2,442,"Native","disamb rp",0,442,"Unambiguous","Consistent"
"9746","Native 4",40,"disamb","rp",3,1196,"Native","disamb rp",0,1196,"Ambiguous","Inconsistent"
"9747","Native 4",38,"disamb","rp",1,2386,"Native","disamb rp",0,2386,"Ambiguous","Consistent"
"9749","Native 4",37,"disamb","rp",4,780,"Native","disamb rp",0,780,"Unambiguous","Inconsistent"
"9752","Native 4",26,"disamb","rp",1,504,"Native","disamb rp",0,504,"Ambiguous","Consistent"
"9755","Native 4",33,"disamb","rp",4,1080,"Native","disamb rp",0,1080,"Unambiguous","Inconsistent"
"9756","Native 4",47,"disamb","rp",2,308,"Native","disamb rp",0,308,"Unambiguous","Consistent"
"9759","Native 4",45,"disamb","rp",4,482,"Native","disamb rp",0,482,"Unambiguous","Inconsistent"
"9760","Native 4",36,"disamb","rp",3,1353,"Native","disamb rp",0,1353,"Ambiguous","Inconsistent"
"9761","Native 4",46,"disamb","rp",1,1318,"Native","disamb rp",0,1318,"Ambiguous","Consistent"
"9764","Native 4",35,"disamb","rp",2,597,"Native","disamb rp",0,597,"Unambiguous","Consistent"
"9765","Native 4",48,"disamb","rp",3,396,"Native","disamb rp",0,396,"Ambiguous","Inconsistent"
"9766","Native 4",41,"disamb","rp",4,542,"Native","disamb rp",0,542,"Unambiguous","Inconsistent"
"9767","Native 4",30,"disamb","rp",1,2923,"Native","disamb rp",0,2923,"Ambiguous","Consistent"
"9768","Native 4",42,"disamb","rp",1,0,"Native","disamb rp",1,NA,"Ambiguous","Consistent"
"9769","Native 4",44,"disamb","rp",3,1064,"Native","disamb rp",0,1064,"Ambiguous","Inconsistent"
"9770","Native 4",43,"disamb","rp",2,1221,"Native","disamb rp",0,1221,"Unambiguous","Consistent"
"9771","Native 4",31,"disamb","rp",2,937,"Native","disamb rp",0,937,"Unambiguous","Consistent"
"9774","Native 4",32,"disamb","rp",3,180,"Native","disamb rp",0,180,"Ambiguous","Inconsistent"
"9777","Native 4",25,"disamb","rp",4,2022,"Native","disamb rp",0,2022,"Unambiguous","Inconsistent"
"9778","Native 4",34,"disamb","rp",1,1996,"Native","disamb rp",0,1996,"Ambiguous","Consistent"
"9785","Native 4",28,"disamb","rp",3,726,"Native","disamb rp",0,726,"Ambiguous","Inconsistent"
"9787","Native 4",29,"disamb","rp",4,603,"Native","disamb rp",0,603,"Unambiguous","Inconsistent"
"9792","Native 5",46,"disamb","rp",2,588,"Native","disamb rp",0,588,"Unambiguous","Consistent"
"9793","Native 5",32,"disamb","rp",4,1455,"Native","disamb rp",0,1455,"Unambiguous","Inconsistent"
"9794","Native 5",45,"disamb","rp",1,358,"Native","disamb rp",0,358,"Ambiguous","Consistent"
"9795","Native 5",33,"disamb","rp",1,1141,"Native","disamb rp",0,1141,"Ambiguous","Consistent"
"9798","Native 5",26,"disamb","rp",2,1567,"Native","disamb rp",0,1567,"Unambiguous","Consistent"
"9800","Native 5",47,"disamb","rp",3,508,"Native","disamb rp",0,508,"Ambiguous","Inconsistent"
