"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"19192","Native 1",45,"disamb","tt",1,891,"Native","disamb tt",0,891,"Ambiguous","Consistent"
"19193","Native 1",29,"disamb","tt",1,392,"Native","disamb tt",0,392,"Ambiguous","Consistent"
"19196","Native 1",34,"disamb","tt",2,689,"Native","disamb tt",0,689,"Unambiguous","Consistent"
"19199","Native 1",36,"disamb","tt",4,570,"Native","disamb tt",0,570,"Unambiguous","Inconsistent"
"19201","Native 1",25,"disamb","tt",1,448,"Native","disamb tt",0,448,"Ambiguous","Consistent"
"19203","Native 1",42,"disamb","tt",2,181,"Native","disamb tt",0,181,"Unambiguous","Consistent"
"19207","Native 1",41,"disamb","tt",1,526,"Native","disamb tt",0,526,"Ambiguous","Consistent"
"19209","Native 1",46,"disamb","tt",2,388,"Native","disamb tt",0,388,"Unambiguous","Consistent"
"19211","Native 1",47,"disamb","tt",3,1189,"Native","disamb tt",0,1189,"Ambiguous","Inconsistent"
"19213","Native 1",39,"disamb","tt",3,1138,"Native","disamb tt",0,1138,"Ambiguous","Inconsistent"
"19214","Native 1",35,"disamb","tt",3,992,"Native","disamb tt",0,992,"Ambiguous","Inconsistent"
"19216","Native 1",48,"disamb","tt",4,583,"Native","disamb tt",0,583,"Unambiguous","Inconsistent"
"19217","Native 1",27,"disamb","tt",3,872,"Native","disamb tt",0,872,"Ambiguous","Inconsistent"
"19219","Native 1",31,"disamb","tt",3,780,"Native","disamb tt",0,780,"Ambiguous","Inconsistent"
"19222","Native 1",40,"disamb","tt",4,276,"Native","disamb tt",0,276,"Unambiguous","Inconsistent"
"19223","Native 1",38,"disamb","tt",2,617,"Native","disamb tt",0,617,"Unambiguous","Consistent"
"19224","Native 1",30,"disamb","tt",2,763,"Native","disamb tt",0,763,"Unambiguous","Consistent"
"19226","Native 1",32,"disamb","tt",4,515,"Native","disamb tt",0,515,"Unambiguous","Inconsistent"
"19230","Native 1",44,"disamb","tt",4,446,"Native","disamb tt",0,446,"Unambiguous","Inconsistent"
"19231","Native 1",37,"disamb","tt",1,890,"Native","disamb tt",0,890,"Ambiguous","Consistent"
"19232","Native 1",28,"disamb","tt",4,551,"Native","disamb tt",0,551,"Unambiguous","Inconsistent"
"19235","Native 1",26,"disamb","tt",2,881,"Native","disamb tt",0,881,"Unambiguous","Consistent"
"19236","Native 1",33,"disamb","tt",1,704,"Native","disamb tt",0,704,"Ambiguous","Consistent"
