"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"26868","Native 1",45,"spillover","tt",1,763,"Native","spillover tt",0,763,"Ambiguous","Consistent"
"26869","Native 1",29,"spillover","tt",1,604,"Native","spillover tt",0,604,"Ambiguous","Consistent"
"26872","Native 1",34,"spillover","tt",2,740,"Native","spillover tt",0,740,"Unambiguous","Consistent"
"26875","Native 1",36,"spillover","tt",4,640,"Native","spillover tt",0,640,"Unambiguous","Inconsistent"
"26877","Native 1",25,"spillover","tt",1,613,"Native","spillover tt",0,613,"Ambiguous","Consistent"
"26879","Native 1",42,"spillover","tt",2,328,"Native","spillover tt",0,328,"Unambiguous","Consistent"
"26883","Native 1",41,"spillover","tt",1,257,"Native","spillover tt",0,257,"Ambiguous","Consistent"
"26885","Native 1",46,"spillover","tt",2,536,"Native","spillover tt",0,536,"Unambiguous","Consistent"
"26887","Native 1",47,"spillover","tt",3,423,"Native","spillover tt",0,423,"Ambiguous","Inconsistent"
"26889","Native 1",39,"spillover","tt",3,787,"Native","spillover tt",0,787,"Ambiguous","Inconsistent"
"26890","Native 1",35,"spillover","tt",3,1008,"Native","spillover tt",0,1008,"Ambiguous","Inconsistent"
"26892","Native 1",48,"spillover","tt",4,459,"Native","spillover tt",0,459,"Unambiguous","Inconsistent"
"26893","Native 1",27,"spillover","tt",3,312,"Native","spillover tt",0,312,"Ambiguous","Inconsistent"
"26895","Native 1",31,"spillover","tt",3,310,"Native","spillover tt",0,310,"Ambiguous","Inconsistent"
"26898","Native 1",40,"spillover","tt",4,1448,"Native","spillover tt",0,1448,"Unambiguous","Inconsistent"
"26899","Native 1",38,"spillover","tt",2,687,"Native","spillover tt",0,687,"Unambiguous","Consistent"
"26900","Native 1",30,"spillover","tt",2,970,"Native","spillover tt",0,970,"Unambiguous","Consistent"
"26902","Native 1",32,"spillover","tt",4,606,"Native","spillover tt",0,606,"Unambiguous","Inconsistent"
"26906","Native 1",44,"spillover","tt",4,381,"Native","spillover tt",0,381,"Unambiguous","Inconsistent"
"26907","Native 1",37,"spillover","tt",1,338,"Native","spillover tt",0,338,"Ambiguous","Consistent"
