"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"5758","Native 1",6,"continuation","fp",2,270,"Native","continuation fp",0,270,"Unambiguous","Consistent"
"5761","Native 1",1,"continuation","fp",1,132,"Native","continuation fp",0,132,"Ambiguous","Consistent"
"5762","Native 1",16,"continuation","fp",4,225,"Native","continuation fp",0,225,"Unambiguous","Inconsistent"
"5764","Native 1",13,"continuation","fp",1,311,"Native","continuation fp",0,311,"Ambiguous","Consistent"
"5765","Native 1",3,"continuation","fp",3,0,"Native","continuation fp",1,NA,"Ambiguous","Inconsistent"
"5767","Native 1",10,"continuation","fp",2,989,"Native","continuation fp",0,989,"Unambiguous","Consistent"
"5769","Native 1",7,"continuation","fp",3,373,"Native","continuation fp",0,373,"Ambiguous","Inconsistent"
"5771","Native 1",20,"continuation","fp",4,375,"Native","continuation fp",0,375,"Unambiguous","Inconsistent"
"5772","Native 1",4,"continuation","fp",4,405,"Native","continuation fp",0,405,"Unambiguous","Inconsistent"
"5773","Native 1",8,"continuation","fp",4,197,"Native","continuation fp",0,197,"Unambiguous","Inconsistent"
"5775","Native 1",15,"continuation","fp",3,176,"Native","continuation fp",0,176,"Ambiguous","Inconsistent"
"5777","Native 1",22,"continuation","fp",2,397,"Native","continuation fp",0,397,"Unambiguous","Consistent"
"5779","Native 1",19,"continuation","fp",3,270,"Native","continuation fp",0,270,"Ambiguous","Inconsistent"
"5782","Native 1",12,"continuation","fp",4,564,"Native","continuation fp",0,564,"Unambiguous","Inconsistent"
"5785","Native 1",23,"continuation","fp",3,548,"Native","continuation fp",0,548,"Ambiguous","Inconsistent"
"5787","Native 1",17,"continuation","fp",1,265,"Native","continuation fp",0,265,"Ambiguous","Consistent"
"5788","Native 1",21,"continuation","fp",1,198,"Native","continuation fp",0,198,"Ambiguous","Consistent"
"5792","Native 1",24,"continuation","fp",4,755,"Native","continuation fp",0,755,"Unambiguous","Inconsistent"
"5794","Native 1",14,"continuation","fp",2,270,"Native","continuation fp",0,270,"Unambiguous","Consistent"
"5795","Native 1",11,"continuation","fp",3,321,"Native","continuation fp",0,321,"Ambiguous","Inconsistent"
"5796","Native 1",9,"continuation","fp",1,240,"Native","continuation fp",0,240,"Ambiguous","Consistent"
"5800","Native 1",5,"continuation","fp",1,174,"Native","continuation fp",0,174,"Ambiguous","Consistent"
"5801","Native 1",2,"continuation","fp",2,410,"Native","continuation fp",0,410,"Unambiguous","Consistent"
"5804","Native 1",18,"continuation","fp",2,312,"Native","continuation fp",0,312,"Unambiguous","Consistent"
"5809","Native 2",20,"continuation","fp",1,201,"Native","continuation fp",0,201,"Ambiguous","Consistent"
"5810","Native 2",5,"continuation","fp",2,169,"Native","continuation fp",0,169,"Unambiguous","Consistent"
"5811","Native 2",12,"continuation","fp",1,188,"Native","continuation fp",0,188,"Ambiguous","Consistent"
"5812","Native 2",2,"continuation","fp",3,0,"Native","continuation fp",1,NA,"Ambiguous","Inconsistent"
"5813","Native 2",9,"continuation","fp",2,212,"Native","continuation fp",0,212,"Unambiguous","Consistent"
"5817","Native 2",16,"continuation","fp",1,177,"Native","continuation fp",0,177,"Ambiguous","Consistent"
"5818","Native 2",1,"continuation","fp",2,182,"Native","continuation fp",0,182,"Unambiguous","Consistent"
"5821","Native 2",13,"continuation","fp",2,166,"Native","continuation fp",0,166,"Unambiguous","Consistent"
"5822","Native 2",10,"continuation","fp",3,236,"Native","continuation fp",0,236,"Ambiguous","Inconsistent"
"5827","Native 2",7,"continuation","fp",4,227,"Native","continuation fp",0,227,"Unambiguous","Inconsistent"
"5830","Native 2",24,"continuation","fp",1,244,"Native","continuation fp",0,244,"Ambiguous","Consistent"
"5833","Native 2",23,"continuation","fp",4,987,"Native","continuation fp",0,987,"Unambiguous","Inconsistent"
"5834","Native 2",4,"continuation","fp",1,154,"Native","continuation fp",0,154,"Ambiguous","Consistent"
"5837","Native 2",19,"continuation","fp",4,180,"Native","continuation fp",0,180,"Unambiguous","Inconsistent"
"5838","Native 2",22,"continuation","fp",3,424,"Native","continuation fp",0,424,"Ambiguous","Inconsistent"
"5841","Native 2",8,"continuation","fp",1,217,"Native","continuation fp",0,217,"Ambiguous","Consistent"
"5842","Native 2",3,"continuation","fp",4,369,"Native","continuation fp",0,369,"Unambiguous","Inconsistent"
"5843","Native 2",17,"continuation","fp",2,168,"Native","continuation fp",0,168,"Unambiguous","Consistent"
"5846","Native 2",21,"continuation","fp",2,241,"Native","continuation fp",0,241,"Unambiguous","Consistent"
"5847","Native 2",14,"continuation","fp",3,320,"Native","continuation fp",0,320,"Ambiguous","Inconsistent"
"5848","Native 2",18,"continuation","fp",3,296,"Native","continuation fp",0,296,"Ambiguous","Inconsistent"
"5850","Native 2",6,"continuation","fp",3,761,"Native","continuation fp",0,761,"Ambiguous","Inconsistent"
"5852","Native 2",11,"continuation","fp",4,148,"Native","continuation fp",0,148,"Unambiguous","Inconsistent"
"5853","Native 2",15,"continuation","fp",4,0,"Native","continuation fp",1,NA,"Unambiguous","Inconsistent"
"5856","Native 3",18,"continuation","fp",4,422,"Native","continuation fp",0,422,"Unambiguous","Inconsistent"
"5859","Native 3",4,"continuation","fp",2,192,"Native","continuation fp",0,192,"Unambiguous","Consistent"
"5863","Native 3",15,"continuation","fp",1,210,"Native","continuation fp",0,210,"Ambiguous","Consistent"
"5864","Native 3",10,"continuation","fp",4,360,"Native","continuation fp",0,360,"Unambiguous","Inconsistent"
"5865","Native 3",23,"continuation","fp",1,182,"Native","continuation fp",0,182,"Ambiguous","Consistent"
"5866","Native 3",17,"continuation","fp",3,349,"Native","continuation fp",0,349,"Ambiguous","Inconsistent"
"5868","Native 3",9,"continuation","fp",3,612,"Native","continuation fp",0,612,"Ambiguous","Inconsistent"
"5869","Native 3",22,"continuation","fp",4,258,"Native","continuation fp",0,258,"Unambiguous","Inconsistent"
"5878","Native 3",13,"continuation","fp",3,351,"Native","continuation fp",0,351,"Ambiguous","Inconsistent"
"5879","Native 3",1,"continuation","fp",3,395,"Native","continuation fp",0,395,"Ambiguous","Inconsistent"
"5880","Native 3",5,"continuation","fp",3,372,"Native","continuation fp",0,372,"Ambiguous","Inconsistent"
"5882","Native 3",11,"continuation","fp",1,260,"Native","continuation fp",0,260,"Ambiguous","Consistent"
"5883","Native 3",16,"continuation","fp",2,770,"Native","continuation fp",0,770,"Unambiguous","Consistent"
"5884","Native 3",6,"continuation","fp",4,353,"Native","continuation fp",0,353,"Unambiguous","Inconsistent"
"5885","Native 3",21,"continuation","fp",3,202,"Native","continuation fp",0,202,"Ambiguous","Inconsistent"
"5886","Native 3",3,"continuation","fp",1,255,"Native","continuation fp",0,255,"Ambiguous","Consistent"
"5888","Native 3",7,"continuation","fp",1,195,"Native","continuation fp",0,195,"Ambiguous","Consistent"
"5893","Native 3",14,"continuation","fp",4,418,"Native","continuation fp",0,418,"Unambiguous","Inconsistent"
"5894","Native 3",19,"continuation","fp",1,278,"Native","continuation fp",0,278,"Ambiguous","Consistent"
"5895","Native 3",20,"continuation","fp",2,342,"Native","continuation fp",0,342,"Unambiguous","Consistent"
"5897","Native 3",8,"continuation","fp",2,179,"Native","continuation fp",0,179,"Unambiguous","Consistent"
"5898","Native 3",2,"continuation","fp",4,494,"Native","continuation fp",0,494,"Unambiguous","Inconsistent"
"5900","Native 3",24,"continuation","fp",2,350,"Native","continuation fp",0,350,"Unambiguous","Consistent"
"5901","Native 3",12,"continuation","fp",2,159,"Native","continuation fp",0,159,"Unambiguous","Consistent"
"5902","Native 4",5,"continuation","fp",4,173,"Native","continuation fp",0,173,"Unambiguous","Inconsistent"
"5903","Native 4",10,"continuation","fp",1,135,"Native","continuation fp",0,135,"Ambiguous","Consistent"
"5906","Native 4",12,"continuation","fp",3,296,"Native","continuation fp",0,296,"Ambiguous","Inconsistent"
"5907","Native 4",14,"continuation","fp",1,122,"Native","continuation fp",0,122,"Ambiguous","Consistent"
"5910","Native 4",11,"continuation","fp",2,155,"Native","continuation fp",0,155,"Unambiguous","Consistent"
"5912","Native 4",18,"continuation","fp",1,214,"Native","continuation fp",0,214,"Ambiguous","Consistent"
"5913","Native 4",7,"continuation","fp",2,212,"Native","continuation fp",0,212,"Unambiguous","Consistent"
"5915","Native 4",20,"continuation","fp",3,391,"Native","continuation fp",0,391,"Ambiguous","Inconsistent"
"5916","Native 4",22,"continuation","fp",1,297,"Native","continuation fp",0,297,"Ambiguous","Consistent"
"5919","Native 4",16,"continuation","fp",3,497,"Native","continuation fp",0,497,"Ambiguous","Inconsistent"
"5920","Native 4",17,"continuation","fp",4,406,"Native","continuation fp",0,406,"Unambiguous","Inconsistent"
"5924","Native 4",2,"continuation","fp",1,0,"Native","continuation fp",1,NA,"Ambiguous","Consistent"
"5925","Native 4",8,"continuation","fp",3,161,"Native","continuation fp",0,161,"Ambiguous","Inconsistent"
"5934","Native 4",23,"continuation","fp",2,212,"Native","continuation fp",0,212,"Unambiguous","Consistent"
"5935","Native 4",4,"continuation","fp",3,264,"Native","continuation fp",0,264,"Ambiguous","Inconsistent"
"5937","Native 4",21,"continuation","fp",4,221,"Native","continuation fp",0,221,"Unambiguous","Inconsistent"
"5938","Native 4",9,"continuation","fp",4,506,"Native","continuation fp",0,506,"Unambiguous","Inconsistent"
"5941","Native 4",3,"continuation","fp",2,162,"Native","continuation fp",0,162,"Unambiguous","Consistent"
"5942","Native 4",1,"continuation","fp",4,154,"Native","continuation fp",0,154,"Unambiguous","Inconsistent"
"5943","Native 4",19,"continuation","fp",2,619,"Native","continuation fp",0,619,"Unambiguous","Consistent"
"5944","Native 4",13,"continuation","fp",4,382,"Native","continuation fp",0,382,"Unambiguous","Inconsistent"
"5945","Native 4",6,"continuation","fp",1,442,"Native","continuation fp",0,442,"Ambiguous","Consistent"
"5946","Native 4",24,"continuation","fp",3,172,"Native","continuation fp",0,172,"Ambiguous","Inconsistent"
"5948","Native 4",15,"continuation","fp",2,1067,"Native","continuation fp",0,1067,"Unambiguous","Consistent"
"5950","Native 5",13,"continuation","fp",1,248,"Native","continuation fp",0,248,"Ambiguous","Consistent"
"5951","Native 5",6,"continuation","fp",2,241,"Native","continuation fp",0,241,"Unambiguous","Consistent"
"5952","Native 5",21,"continuation","fp",1,196,"Native","continuation fp",0,196,"Ambiguous","Consistent"
"5953","Native 5",24,"continuation","fp",4,268,"Native","continuation fp",0,268,"Unambiguous","Inconsistent"
"5958","Native 5",11,"continuation","fp",3,150,"Native","continuation fp",0,150,"Ambiguous","Inconsistent"
