"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"15353","Native 1",6,"continuation","rp",2,270,"Native","continuation rp",0,270,"Unambiguous","Consistent"
"15356","Native 1",1,"continuation","rp",1,132,"Native","continuation rp",0,132,"Ambiguous","Consistent"
"15357","Native 1",16,"continuation","rp",4,225,"Native","continuation rp",0,225,"Unambiguous","Inconsistent"
"15359","Native 1",13,"continuation","rp",1,311,"Native","continuation rp",0,311,"Ambiguous","Consistent"
"15360","Native 1",3,"continuation","rp",3,0,"Native","continuation rp",1,NA,"Ambiguous","Inconsistent"
"15362","Native 1",10,"continuation","rp",2,989,"Native","continuation rp",0,989,"Unambiguous","Consistent"
"15364","Native 1",7,"continuation","rp",3,373,"Native","continuation rp",0,373,"Ambiguous","Inconsistent"
"15366","Native 1",20,"continuation","rp",4,375,"Native","continuation rp",0,375,"Unambiguous","Inconsistent"
"15367","Native 1",4,"continuation","rp",4,405,"Native","continuation rp",0,405,"Unambiguous","Inconsistent"
"15368","Native 1",8,"continuation","rp",4,197,"Native","continuation rp",0,197,"Unambiguous","Inconsistent"
"15370","Native 1",15,"continuation","rp",3,585,"Native","continuation rp",0,585,"Ambiguous","Inconsistent"
"15372","Native 1",22,"continuation","rp",2,397,"Native","continuation rp",0,397,"Unambiguous","Consistent"
"15374","Native 1",19,"continuation","rp",3,654,"Native","continuation rp",0,654,"Ambiguous","Inconsistent"
"15377","Native 1",12,"continuation","rp",4,564,"Native","continuation rp",0,564,"Unambiguous","Inconsistent"
"15380","Native 1",23,"continuation","rp",3,548,"Native","continuation rp",0,548,"Ambiguous","Inconsistent"
"15382","Native 1",17,"continuation","rp",1,265,"Native","continuation rp",0,265,"Ambiguous","Consistent"
"15383","Native 1",21,"continuation","rp",1,198,"Native","continuation rp",0,198,"Ambiguous","Consistent"
"15387","Native 1",24,"continuation","rp",4,939,"Native","continuation rp",0,939,"Unambiguous","Inconsistent"
"15389","Native 1",14,"continuation","rp",2,460,"Native","continuation rp",0,460,"Unambiguous","Consistent"
"15390","Native 1",11,"continuation","rp",3,321,"Native","continuation rp",0,321,"Ambiguous","Inconsistent"
"15391","Native 1",9,"continuation","rp",1,240,"Native","continuation rp",0,240,"Ambiguous","Consistent"
"15395","Native 1",5,"continuation","rp",1,174,"Native","continuation rp",0,174,"Ambiguous","Consistent"
"15396","Native 1",2,"continuation","rp",2,410,"Native","continuation rp",0,410,"Unambiguous","Consistent"
"15399","Native 1",18,"continuation","rp",2,312,"Native","continuation rp",0,312,"Unambiguous","Consistent"
"15404","Native 2",20,"continuation","rp",1,201,"Native","continuation rp",0,201,"Ambiguous","Consistent"
"15405","Native 2",5,"continuation","rp",2,169,"Native","continuation rp",0,169,"Unambiguous","Consistent"
"15406","Native 2",12,"continuation","rp",1,188,"Native","continuation rp",0,188,"Ambiguous","Consistent"
"15407","Native 2",2,"continuation","rp",3,0,"Native","continuation rp",1,NA,"Ambiguous","Inconsistent"
"15408","Native 2",9,"continuation","rp",2,212,"Native","continuation rp",0,212,"Unambiguous","Consistent"
"15412","Native 2",16,"continuation","rp",1,177,"Native","continuation rp",0,177,"Ambiguous","Consistent"
"15413","Native 2",1,"continuation","rp",2,182,"Native","continuation rp",0,182,"Unambiguous","Consistent"
"15416","Native 2",13,"continuation","rp",2,166,"Native","continuation rp",0,166,"Unambiguous","Consistent"
"15417","Native 2",10,"continuation","rp",3,236,"Native","continuation rp",0,236,"Ambiguous","Inconsistent"
"15422","Native 2",7,"continuation","rp",4,227,"Native","continuation rp",0,227,"Unambiguous","Inconsistent"
"15425","Native 2",24,"continuation","rp",1,244,"Native","continuation rp",0,244,"Ambiguous","Consistent"
"15428","Native 2",23,"continuation","rp",4,987,"Native","continuation rp",0,987,"Unambiguous","Inconsistent"
"15429","Native 2",4,"continuation","rp",1,154,"Native","continuation rp",0,154,"Ambiguous","Consistent"
"15432","Native 2",19,"continuation","rp",4,180,"Native","continuation rp",0,180,"Unambiguous","Inconsistent"
"15433","Native 2",22,"continuation","rp",3,424,"Native","continuation rp",0,424,"Ambiguous","Inconsistent"
"15436","Native 2",8,"continuation","rp",1,217,"Native","continuation rp",0,217,"Ambiguous","Consistent"
"15437","Native 2",3,"continuation","rp",4,369,"Native","continuation rp",0,369,"Unambiguous","Inconsistent"
"15438","Native 2",17,"continuation","rp",2,168,"Native","continuation rp",0,168,"Unambiguous","Consistent"
"15441","Native 2",21,"continuation","rp",2,486,"Native","continuation rp",0,486,"Unambiguous","Consistent"
"15442","Native 2",14,"continuation","rp",3,320,"Native","continuation rp",0,320,"Ambiguous","Inconsistent"
"15443","Native 2",18,"continuation","rp",3,626,"Native","continuation rp",0,626,"Ambiguous","Inconsistent"
"15445","Native 2",6,"continuation","rp",3,761,"Native","continuation rp",0,761,"Ambiguous","Inconsistent"
"15447","Native 2",11,"continuation","rp",4,148,"Native","continuation rp",0,148,"Unambiguous","Inconsistent"
"15448","Native 2",15,"continuation","rp",4,0,"Native","continuation rp",1,NA,"Unambiguous","Inconsistent"
