"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"24948","Native 1",6,"continuation","tt",2,270,"Native","continuation tt",0,270,"Unambiguous","Consistent"
"24951","Native 1",1,"continuation","tt",1,132,"Native","continuation tt",0,132,"Ambiguous","Consistent"
"24952","Native 1",16,"continuation","tt",4,711,"Native","continuation tt",0,711,"Unambiguous","Inconsistent"
"24954","Native 1",13,"continuation","tt",1,311,"Native","continuation tt",0,311,"Ambiguous","Consistent"
"24955","Native 1",3,"continuation","tt",3,138,"Native","continuation tt",0,138,"Ambiguous","Inconsistent"
"24957","Native 1",10,"continuation","tt",2,989,"Native","continuation tt",0,989,"Unambiguous","Consistent"
"24959","Native 1",7,"continuation","tt",3,373,"Native","continuation tt",0,373,"Ambiguous","Inconsistent"
"24961","Native 1",20,"continuation","tt",4,732,"Native","continuation tt",0,732,"Unambiguous","Inconsistent"
"24962","Native 1",4,"continuation","tt",4,793,"Native","continuation tt",0,793,"Unambiguous","Inconsistent"
"24963","Native 1",8,"continuation","tt",4,1496,"Native","continuation tt",0,1496,"Unambiguous","Inconsistent"
"24965","Native 1",15,"continuation","tt",3,367,"Native","continuation tt",0,367,"Ambiguous","Inconsistent"
"24967","Native 1",22,"continuation","tt",2,655,"Native","continuation tt",0,655,"Unambiguous","Consistent"
"24969","Native 1",19,"continuation","tt",3,768,"Native","continuation tt",0,768,"Ambiguous","Inconsistent"
"24972","Native 1",12,"continuation","tt",4,564,"Native","continuation tt",0,564,"Unambiguous","Inconsistent"
"24975","Native 1",23,"continuation","tt",3,548,"Native","continuation tt",0,548,"Ambiguous","Inconsistent"
"24977","Native 1",17,"continuation","tt",1,265,"Native","continuation tt",0,265,"Ambiguous","Consistent"
"24978","Native 1",21,"continuation","tt",1,198,"Native","continuation tt",0,198,"Ambiguous","Consistent"
"24982","Native 1",24,"continuation","tt",4,913,"Native","continuation tt",0,913,"Unambiguous","Inconsistent"
"24984","Native 1",14,"continuation","tt",2,270,"Native","continuation tt",0,270,"Unambiguous","Consistent"
"24985","Native 1",11,"continuation","tt",3,321,"Native","continuation tt",0,321,"Ambiguous","Inconsistent"
"24986","Native 1",9,"continuation","tt",1,240,"Native","continuation tt",0,240,"Ambiguous","Consistent"
"24990","Native 1",5,"continuation","tt",1,174,"Native","continuation tt",0,174,"Ambiguous","Consistent"
"24991","Native 1",2,"continuation","tt",2,410,"Native","continuation tt",0,410,"Unambiguous","Consistent"
"24994","Native 1",18,"continuation","tt",2,312,"Native","continuation tt",0,312,"Unambiguous","Consistent"
"24999","Native 2",20,"continuation","tt",1,361,"Native","continuation tt",0,361,"Ambiguous","Consistent"
"25000","Native 2",5,"continuation","tt",2,169,"Native","continuation tt",0,169,"Unambiguous","Consistent"
"25001","Native 2",12,"continuation","tt",1,188,"Native","continuation tt",0,188,"Ambiguous","Consistent"
"25002","Native 2",2,"continuation","tt",3,773,"Native","continuation tt",0,773,"Ambiguous","Inconsistent"
"25003","Native 2",9,"continuation","tt",2,390,"Native","continuation tt",0,390,"Unambiguous","Consistent"
"25007","Native 2",16,"continuation","tt",1,817,"Native","continuation tt",0,817,"Ambiguous","Consistent"
"25008","Native 2",1,"continuation","tt",2,182,"Native","continuation tt",0,182,"Unambiguous","Consistent"
"25011","Native 2",13,"continuation","tt",2,166,"Native","continuation tt",0,166,"Unambiguous","Consistent"
"25012","Native 2",10,"continuation","tt",3,1739,"Native","continuation tt",0,1739,"Ambiguous","Inconsistent"
"25017","Native 2",7,"continuation","tt",4,609,"Native","continuation tt",0,609,"Unambiguous","Inconsistent"
"25020","Native 2",24,"continuation","tt",1,244,"Native","continuation tt",0,244,"Ambiguous","Consistent"
"25023","Native 2",23,"continuation","tt",4,987,"Native","continuation tt",0,987,"Unambiguous","Inconsistent"
"25024","Native 2",4,"continuation","tt",1,154,"Native","continuation tt",0,154,"Ambiguous","Consistent"
"25027","Native 2",19,"continuation","tt",4,565,"Native","continuation tt",0,565,"Unambiguous","Inconsistent"
"25028","Native 2",22,"continuation","tt",3,424,"Native","continuation tt",0,424,"Ambiguous","Inconsistent"
"25031","Native 2",8,"continuation","tt",1,217,"Native","continuation tt",0,217,"Ambiguous","Consistent"
"25032","Native 2",3,"continuation","tt",4,369,"Native","continuation tt",0,369,"Unambiguous","Inconsistent"
"25033","Native 2",17,"continuation","tt",2,375,"Native","continuation tt",0,375,"Unambiguous","Consistent"
"25036","Native 2",21,"continuation","tt",2,241,"Native","continuation tt",0,241,"Unambiguous","Consistent"
"25037","Native 2",14,"continuation","tt",3,320,"Native","continuation tt",0,320,"Ambiguous","Inconsistent"
"25038","Native 2",18,"continuation","tt",3,296,"Native","continuation tt",0,296,"Ambiguous","Inconsistent"
"25040","Native 2",6,"continuation","tt",3,761,"Native","continuation tt",0,761,"Ambiguous","Inconsistent"
"25042","Native 2",11,"continuation","tt",4,148,"Native","continuation tt",0,148,"Unambiguous","Inconsistent"
"25043","Native 2",15,"continuation","tt",4,198,"Native","continuation tt",0,198,"Unambiguous","Inconsistent"
"25046","Native 3",18,"continuation","tt",4,422,"Native","continuation tt",0,422,"Unambiguous","Inconsistent"
"25049","Native 3",4,"continuation","tt",2,192,"Native","continuation tt",0,192,"Unambiguous","Consistent"
"25053","Native 3",15,"continuation","tt",1,590,"Native","continuation tt",0,590,"Ambiguous","Consistent"
"25054","Native 3",10,"continuation","tt",4,1460,"Native","continuation tt",0,1460,"Unambiguous","Inconsistent"
"25055","Native 3",23,"continuation","tt",1,1056,"Native","continuation tt",0,1056,"Ambiguous","Consistent"
"25056","Native 3",17,"continuation","tt",3,349,"Native","continuation tt",0,349,"Ambiguous","Inconsistent"
"25058","Native 3",9,"continuation","tt",3,612,"Native","continuation tt",0,612,"Ambiguous","Inconsistent"
"25059","Native 3",22,"continuation","tt",4,258,"Native","continuation tt",0,258,"Unambiguous","Inconsistent"
"25068","Native 3",13,"continuation","tt",3,351,"Native","continuation tt",0,351,"Ambiguous","Inconsistent"
"25069","Native 3",1,"continuation","tt",3,395,"Native","continuation tt",0,395,"Ambiguous","Inconsistent"
"25070","Native 3",5,"continuation","tt",3,372,"Native","continuation tt",0,372,"Ambiguous","Inconsistent"
"25072","Native 3",11,"continuation","tt",1,260,"Native","continuation tt",0,260,"Ambiguous","Consistent"
"25073","Native 3",16,"continuation","tt",2,770,"Native","continuation tt",0,770,"Unambiguous","Consistent"
"25074","Native 3",6,"continuation","tt",4,353,"Native","continuation tt",0,353,"Unambiguous","Inconsistent"
"25075","Native 3",21,"continuation","tt",3,202,"Native","continuation tt",0,202,"Ambiguous","Inconsistent"
"25076","Native 3",3,"continuation","tt",1,255,"Native","continuation tt",0,255,"Ambiguous","Consistent"
"25078","Native 3",7,"continuation","tt",1,365,"Native","continuation tt",0,365,"Ambiguous","Consistent"
"25083","Native 3",14,"continuation","tt",4,418,"Native","continuation tt",0,418,"Unambiguous","Inconsistent"
"25084","Native 3",19,"continuation","tt",1,278,"Native","continuation tt",0,278,"Ambiguous","Consistent"
"25085","Native 3",20,"continuation","tt",2,342,"Native","continuation tt",0,342,"Unambiguous","Consistent"
"25087","Native 3",8,"continuation","tt",2,179,"Native","continuation tt",0,179,"Unambiguous","Consistent"
"25088","Native 3",2,"continuation","tt",4,494,"Native","continuation tt",0,494,"Unambiguous","Inconsistent"
"25090","Native 3",24,"continuation","tt",2,350,"Native","continuation tt",0,350,"Unambiguous","Consistent"
"25091","Native 3",12,"continuation","tt",2,392,"Native","continuation tt",0,392,"Unambiguous","Consistent"
"25092","Native 4",5,"continuation","tt",4,173,"Native","continuation tt",0,173,"Unambiguous","Inconsistent"
"25093","Native 4",10,"continuation","tt",1,1287,"Native","continuation tt",0,1287,"Ambiguous","Consistent"
"25096","Native 4",12,"continuation","tt",3,296,"Native","continuation tt",0,296,"Ambiguous","Inconsistent"
"25097","Native 4",14,"continuation","tt",1,928,"Native","continuation tt",0,928,"Ambiguous","Consistent"
"25100","Native 4",11,"continuation","tt",2,155,"Native","continuation tt",0,155,"Unambiguous","Consistent"
"25102","Native 4",18,"continuation","tt",1,473,"Native","continuation tt",0,473,"Ambiguous","Consistent"
"25103","Native 4",7,"continuation","tt",2,212,"Native","continuation tt",0,212,"Unambiguous","Consistent"
"25105","Native 4",20,"continuation","tt",3,391,"Native","continuation tt",0,391,"Ambiguous","Inconsistent"
"25106","Native 4",22,"continuation","tt",1,297,"Native","continuation tt",0,297,"Ambiguous","Consistent"
"25109","Native 4",16,"continuation","tt",3,497,"Native","continuation tt",0,497,"Ambiguous","Inconsistent"
"25110","Native 4",17,"continuation","tt",4,406,"Native","continuation tt",0,406,"Unambiguous","Inconsistent"
"25114","Native 4",2,"continuation","tt",1,374,"Native","continuation tt",0,374,"Ambiguous","Consistent"
"25115","Native 4",8,"continuation","tt",3,384,"Native","continuation tt",0,384,"Ambiguous","Inconsistent"
"25124","Native 4",23,"continuation","tt",2,212,"Native","continuation tt",0,212,"Unambiguous","Consistent"
"25125","Native 4",4,"continuation","tt",3,264,"Native","continuation tt",0,264,"Ambiguous","Inconsistent"
"25127","Native 4",21,"continuation","tt",4,221,"Native","continuation tt",0,221,"Unambiguous","Inconsistent"
"25128","Native 4",9,"continuation","tt",4,506,"Native","continuation tt",0,506,"Unambiguous","Inconsistent"
"25131","Native 4",3,"continuation","tt",2,902,"Native","continuation tt",0,902,"Unambiguous","Consistent"
"25132","Native 4",1,"continuation","tt",4,154,"Native","continuation tt",0,154,"Unambiguous","Inconsistent"
"25133","Native 4",19,"continuation","tt",2,619,"Native","continuation tt",0,619,"Unambiguous","Consistent"
"25134","Native 4",13,"continuation","tt",4,382,"Native","continuation tt",0,382,"Unambiguous","Inconsistent"
"25135","Native 4",6,"continuation","tt",1,442,"Native","continuation tt",0,442,"Ambiguous","Consistent"
"25136","Native 4",24,"continuation","tt",3,172,"Native","continuation tt",0,172,"Ambiguous","Inconsistent"
"25138","Native 4",15,"continuation","tt",2,1386,"Native","continuation tt",0,1386,"Unambiguous","Consistent"
"25140","Native 5",13,"continuation","tt",1,248,"Native","continuation tt",0,248,"Ambiguous","Consistent"
"25141","Native 5",6,"continuation","tt",2,241,"Native","continuation tt",0,241,"Unambiguous","Consistent"
"25142","Native 5",21,"continuation","tt",1,316,"Native","continuation tt",0,316,"Ambiguous","Consistent"
"25143","Native 5",24,"continuation","tt",4,562,"Native","continuation tt",0,562,"Unambiguous","Inconsistent"
"25148","Native 5",11,"continuation","tt",3,150,"Native","continuation tt",0,150,"Ambiguous","Inconsistent"
"25149","Native 5",18,"continuation","tt",2,139,"Native","continuation tt",0,139,"Unambiguous","Consistent"
"25151","Native 5",16,"continuation","tt",4,142,"Native","continuation tt",0,142,"Unambiguous","Inconsistent"
"25153","Native 5",7,"continuation","tt",3,194,"Native","continuation tt",0,194,"Ambiguous","Inconsistent"
"25160","Native 5",3,"continuation","tt",3,203,"Native","continuation tt",0,203,"Ambiguous","Inconsistent"
"25165","Native 5",14,"continuation","tt",2,297,"Native","continuation tt",0,297,"Unambiguous","Consistent"
"25166","Native 5",20,"continuation","tt",4,557,"Native","continuation tt",0,557,"Unambiguous","Inconsistent"
"25167","Native 5",2,"continuation","tt",2,301,"Native","continuation tt",0,301,"Unambiguous","Consistent"
"25168","Native 5",8,"continuation","tt",4,228,"Native","continuation tt",0,228,"Unambiguous","Inconsistent"
"25170","Native 5",15,"continuation","tt",3,486,"Native","continuation tt",0,486,"Ambiguous","Inconsistent"
"25173","Native 5",10,"continuation","tt",2,302,"Native","continuation tt",0,302,"Unambiguous","Consistent"
"25177","Native 5",23,"continuation","tt",3,432,"Native","continuation tt",0,432,"Ambiguous","Inconsistent"
"25178","Native 5",4,"continuation","tt",4,423,"Native","continuation tt",0,423,"Unambiguous","Inconsistent"
"25180","Native 5",9,"continuation","tt",1,178,"Native","continuation tt",0,178,"Ambiguous","Consistent"
"25181","Native 5",17,"continuation","tt",1,180,"Native","continuation tt",0,180,"Ambiguous","Consistent"
"25182","Native 5",12,"continuation","tt",4,207,"Native","continuation tt",0,207,"Unambiguous","Inconsistent"
"25183","Native 5",22,"continuation","tt",2,439,"Native","continuation tt",0,439,"Unambiguous","Consistent"
"25184","Native 5",5,"continuation","tt",1,158,"Native","continuation tt",0,158,"Ambiguous","Consistent"
"25185","Native 5",19,"continuation","tt",3,178,"Native","continuation tt",0,178,"Ambiguous","Inconsistent"
"25186","Native 5",1,"continuation","tt",1,0,"Native","continuation tt",1,NA,"Ambiguous","Consistent"
"25188","Native 6",21,"continuation","tt",2,385,"Native","continuation tt",0,385,"Unambiguous","Consistent"
"25191","Native 6",15,"continuation","tt",4,270,"Native","continuation tt",0,270,"Unambiguous","Inconsistent"
"25192","Native 6",6,"continuation","tt",3,368,"Native","continuation tt",0,368,"Ambiguous","Inconsistent"
"25194","Native 6",19,"continuation","tt",4,602,"Native","continuation tt",0,602,"Unambiguous","Inconsistent"
"25202","Native 6",10,"continuation","tt",3,276,"Native","continuation tt",0,276,"Ambiguous","Inconsistent"
"25204","Native 6",24,"continuation","tt",1,360,"Native","continuation tt",0,360,"Ambiguous","Consistent"
"25205","Native 6",5,"continuation","tt",2,325,"Native","continuation tt",0,325,"Unambiguous","Consistent"
"25206","Native 6",2,"continuation","tt",3,296,"Native","continuation tt",0,296,"Ambiguous","Inconsistent"
"25207","Native 6",14,"continuation","tt",3,665,"Native","continuation tt",0,665,"Ambiguous","Inconsistent"
"25210","Native 6",18,"continuation","tt",3,224,"Native","continuation tt",0,224,"Ambiguous","Inconsistent"
"25212","Native 6",7,"continuation","tt",4,581,"Native","continuation tt",0,581,"Unambiguous","Inconsistent"
"25214","Native 6",17,"continuation","tt",2,172,"Native","continuation tt",0,172,"Unambiguous","Consistent"
"25215","Native 6",23,"continuation","tt",4,607,"Native","continuation tt",0,607,"Unambiguous","Inconsistent"
"25216","Native 6",8,"continuation","tt",1,204,"Native","continuation tt",0,204,"Ambiguous","Consistent"
"25220","Native 6",3,"continuation","tt",4,349,"Native","continuation tt",0,349,"Unambiguous","Inconsistent"
"25221","Native 6",20,"continuation","tt",1,199,"Native","continuation tt",0,199,"Ambiguous","Consistent"
"25222","Native 6",16,"continuation","tt",1,223,"Native","continuation tt",0,223,"Ambiguous","Consistent"
"25224","Native 6",4,"continuation","tt",1,199,"Native","continuation tt",0,199,"Ambiguous","Consistent"
"25225","Native 6",13,"continuation","tt",2,174,"Native","continuation tt",0,174,"Unambiguous","Consistent"
"25226","Native 6",9,"continuation","tt",2,292,"Native","continuation tt",0,292,"Unambiguous","Consistent"
"25230","Native 6",22,"continuation","tt",3,167,"Native","continuation tt",0,167,"Ambiguous","Inconsistent"
"25231","Native 6",11,"continuation","tt",4,159,"Native","continuation tt",0,159,"Unambiguous","Inconsistent"
"25233","Native 6",1,"continuation","tt",2,207,"Native","continuation tt",0,207,"Unambiguous","Consistent"
"25235","Native 6",12,"continuation","tt",1,228,"Native","continuation tt",0,228,"Ambiguous","Consistent"
"25239","Native 7",20,"continuation","tt",2,224,"Native","continuation tt",0,224,"Unambiguous","Consistent"
