"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"1","Native 1",6,"disamb","fp",2,407,"Native","disamb fp",0,407,"Unambiguous","Consistent"
"4","Native 1",1,"disamb","fp",1,159,"Native","disamb fp",0,159,"Ambiguous","Consistent"
"5","Native 1",16,"disamb","fp",4,415,"Native","disamb fp",0,415,"Unambiguous","Inconsistent"
"7","Native 1",13,"disamb","fp",1,547,"Native","disamb fp",0,547,"Ambiguous","Consistent"
"8","Native 1",3,"disamb","fp",3,186,"Native","disamb fp",0,186,"Ambiguous","Inconsistent"
"10","Native 1",10,"disamb","fp",2,211,"Native","disamb fp",0,211,"Unambiguous","Consistent"
"12","Native 1",7,"disamb","fp",3,362,"Native","disamb fp",0,362,"Ambiguous","Inconsistent"
"14","Native 1",20,"disamb","fp",4,0,"Native","disamb fp",1,NA,"Unambiguous","Inconsistent"
"15","Native 1",4,"disamb","fp",4,158,"Native","disamb fp",0,158,"Unambiguous","Inconsistent"
"16","Native 1",8,"disamb","fp",4,384,"Native","disamb fp",0,384,"Unambiguous","Inconsistent"
"18","Native 1",15,"disamb","fp",3,277,"Native","disamb fp",0,277,"Ambiguous","Inconsistent"
"20","Native 1",22,"disamb","fp",2,222,"Native","disamb fp",0,222,"Unambiguous","Consistent"
"22","Native 1",19,"disamb","fp",3,421,"Native","disamb fp",0,421,"Ambiguous","Inconsistent"
"25","Native 1",12,"disamb","fp",4,177,"Native","disamb fp",0,177,"Unambiguous","Inconsistent"
"28","Native 1",23,"disamb","fp",3,0,"Native","disamb fp",1,NA,"Ambiguous","Inconsistent"
"30","Native 1",17,"disamb","fp",1,360,"Native","disamb fp",0,360,"Ambiguous","Consistent"
"31","Native 1",21,"disamb","fp",1,227,"Native","disamb fp",0,227,"Ambiguous","Consistent"
"35","Native 1",24,"disamb","fp",4,398,"Native","disamb fp",0,398,"Unambiguous","Inconsistent"
"37","Native 1",14,"disamb","fp",2,536,"Native","disamb fp",0,536,"Unambiguous","Consistent"
"38","Native 1",11,"disamb","fp",3,305,"Native","disamb fp",0,305,"Ambiguous","Inconsistent"
"39","Native 1",9,"disamb","fp",1,444,"Native","disamb fp",0,444,"Ambiguous","Consistent"
"43","Native 1",5,"disamb","fp",1,347,"Native","disamb fp",0,347,"Ambiguous","Consistent"
"44","Native 1",2,"disamb","fp",2,188,"Native","disamb fp",0,188,"Unambiguous","Consistent"
"47","Native 1",18,"disamb","fp",2,350,"Native","disamb fp",0,350,"Unambiguous","Consistent"
"52","Native 2",20,"disamb","fp",1,0,"Native","disamb fp",1,NA,"Ambiguous","Consistent"
"53","Native 2",5,"disamb","fp",2,295,"Native","disamb fp",0,295,"Unambiguous","Consistent"
"54","Native 2",12,"disamb","fp",1,189,"Native","disamb fp",0,189,"Ambiguous","Consistent"
"55","Native 2",2,"disamb","fp",3,207,"Native","disamb fp",0,207,"Ambiguous","Inconsistent"
"56","Native 2",9,"disamb","fp",2,245,"Native","disamb fp",0,245,"Unambiguous","Consistent"
"60","Native 2",16,"disamb","fp",1,180,"Native","disamb fp",0,180,"Ambiguous","Consistent"
"61","Native 2",1,"disamb","fp",2,182,"Native","disamb fp",0,182,"Unambiguous","Consistent"
"64","Native 2",13,"disamb","fp",2,0,"Native","disamb fp",1,NA,"Unambiguous","Consistent"
"65","Native 2",10,"disamb","fp",3,322,"Native","disamb fp",0,322,"Ambiguous","Inconsistent"
"70","Native 2",7,"disamb","fp",4,0,"Native","disamb fp",1,NA,"Unambiguous","Inconsistent"
"73","Native 2",24,"disamb","fp",1,182,"Native","disamb fp",0,182,"Ambiguous","Consistent"
"76","Native 2",23,"disamb","fp",4,191,"Native","disamb fp",0,191,"Unambiguous","Inconsistent"
"77","Native 2",4,"disamb","fp",1,245,"Native","disamb fp",0,245,"Ambiguous","Consistent"
"80","Native 2",19,"disamb","fp",4,341,"Native","disamb fp",0,341,"Unambiguous","Inconsistent"
"81","Native 2",22,"disamb","fp",3,0,"Native","disamb fp",1,NA,"Ambiguous","Inconsistent"
"84","Native 2",8,"disamb","fp",1,277,"Native","disamb fp",0,277,"Ambiguous","Consistent"
"85","Native 2",3,"disamb","fp",4,177,"Native","disamb fp",0,177,"Unambiguous","Inconsistent"
"86","Native 2",17,"disamb","fp",2,261,"Native","disamb fp",0,261,"Unambiguous","Consistent"
"89","Native 2",21,"disamb","fp",2,0,"Native","disamb fp",1,NA,"Unambiguous","Consistent"
"90","Native 2",14,"disamb","fp",3,0,"Native","disamb fp",1,NA,"Ambiguous","Inconsistent"
"91","Native 2",18,"disamb","fp",3,267,"Native","disamb fp",0,267,"Ambiguous","Inconsistent"
"93","Native 2",6,"disamb","fp",3,0,"Native","disamb fp",1,NA,"Ambiguous","Inconsistent"
"95","Native 2",11,"disamb","fp",4,223,"Native","disamb fp",0,223,"Unambiguous","Inconsistent"
"96","Native 2",15,"disamb","fp",4,0,"Native","disamb fp",1,NA,"Unambiguous","Inconsistent"
"99","Native 3",18,"disamb","fp",4,303,"Native","disamb fp",0,303,"Unambiguous","Inconsistent"
"102","Native 3",4,"disamb","fp",2,153,"Native","disamb fp",0,153,"Unambiguous","Consistent"
"106","Native 3",15,"disamb","fp",1,429,"Native","disamb fp",0,429,"Ambiguous","Consistent"
"107","Native 3",10,"disamb","fp",4,320,"Native","disamb fp",0,320,"Unambiguous","Inconsistent"
"108","Native 3",23,"disamb","fp",1,343,"Native","disamb fp",0,343,"Ambiguous","Consistent"
"109","Native 3",17,"disamb","fp",3,184,"Native","disamb fp",0,184,"Ambiguous","Inconsistent"
"111","Native 3",9,"disamb","fp",3,379,"Native","disamb fp",0,379,"Ambiguous","Inconsistent"
"112","Native 3",22,"disamb","fp",4,305,"Native","disamb fp",0,305,"Unambiguous","Inconsistent"
"121","Native 3",13,"disamb","fp",3,457,"Native","disamb fp",0,457,"Ambiguous","Inconsistent"
"122","Native 3",1,"disamb","fp",3,456,"Native","disamb fp",0,456,"Ambiguous","Inconsistent"
"123","Native 3",5,"disamb","fp",3,446,"Native","disamb fp",0,446,"Ambiguous","Inconsistent"
"125","Native 3",11,"disamb","fp",1,509,"Native","disamb fp",0,509,"Ambiguous","Consistent"
"126","Native 3",16,"disamb","fp",2,362,"Native","disamb fp",0,362,"Unambiguous","Consistent"
"127","Native 3",6,"disamb","fp",4,218,"Native","disamb fp",0,218,"Unambiguous","Inconsistent"
"128","Native 3",21,"disamb","fp",3,224,"Native","disamb fp",0,224,"Ambiguous","Inconsistent"
