"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"9596","Native 1",6,"disamb","rp",2,407,"Native","disamb rp",0,407,"Unambiguous","Consistent"
"9599","Native 1",1,"disamb","rp",1,1786,"Native","disamb rp",0,1786,"Ambiguous","Consistent"
"9600","Native 1",16,"disamb","rp",4,882,"Native","disamb rp",0,882,"Unambiguous","Inconsistent"
"9602","Native 1",13,"disamb","rp",1,547,"Native","disamb rp",0,547,"Ambiguous","Consistent"
"9603","Native 1",3,"disamb","rp",3,186,"Native","disamb rp",0,186,"Ambiguous","Inconsistent"
"9605","Native 1",10,"disamb","rp",2,211,"Native","disamb rp",0,211,"Unambiguous","Consistent"
"9607","Native 1",7,"disamb","rp",3,362,"Native","disamb rp",0,362,"Ambiguous","Inconsistent"
"9609","Native 1",20,"disamb","rp",4,0,"Native","disamb rp",1,NA,"Unambiguous","Inconsistent"
"9610","Native 1",4,"disamb","rp",4,158,"Native","disamb rp",0,158,"Unambiguous","Inconsistent"
"9611","Native 1",8,"disamb","rp",4,384,"Native","disamb rp",0,384,"Unambiguous","Inconsistent"
"9613","Native 1",15,"disamb","rp",3,277,"Native","disamb rp",0,277,"Ambiguous","Inconsistent"
"9615","Native 1",22,"disamb","rp",2,222,"Native","disamb rp",0,222,"Unambiguous","Consistent"
"9617","Native 1",19,"disamb","rp",3,421,"Native","disamb rp",0,421,"Ambiguous","Inconsistent"
"9620","Native 1",12,"disamb","rp",4,177,"Native","disamb rp",0,177,"Unambiguous","Inconsistent"
"9623","Native 1",23,"disamb","rp",3,0,"Native","disamb rp",1,NA,"Ambiguous","Inconsistent"
"9625","Native 1",17,"disamb","rp",1,360,"Native","disamb rp",0,360,"Ambiguous","Consistent"
"9626","Native 1",21,"disamb","rp",1,656,"Native","disamb rp",0,656,"Ambiguous","Consistent"
"9630","Native 1",24,"disamb","rp",4,398,"Native","disamb rp",0,398,"Unambiguous","Inconsistent"
"9632","Native 1",14,"disamb","rp",2,536,"Native","disamb rp",0,536,"Unambiguous","Consistent"
"9633","Native 1",11,"disamb","rp",3,1144,"Native","disamb rp",0,1144,"Ambiguous","Inconsistent"
"9634","Native 1",9,"disamb","rp",1,444,"Native","disamb rp",0,444,"Ambiguous","Consistent"
"9638","Native 1",5,"disamb","rp",1,347,"Native","disamb rp",0,347,"Ambiguous","Consistent"
"9639","Native 1",2,"disamb","rp",2,188,"Native","disamb rp",0,188,"Unambiguous","Consistent"
"9642","Native 1",18,"disamb","rp",2,350,"Native","disamb rp",0,350,"Unambiguous","Consistent"
"9647","Native 2",20,"disamb","rp",1,0,"Native","disamb rp",1,NA,"Ambiguous","Consistent"
"9648","Native 2",5,"disamb","rp",2,295,"Native","disamb rp",0,295,"Unambiguous","Consistent"
"9649","Native 2",12,"disamb","rp",1,189,"Native","disamb rp",0,189,"Ambiguous","Consistent"
"9650","Native 2",2,"disamb","rp",3,754,"Native","disamb rp",0,754,"Ambiguous","Inconsistent"
"9651","Native 2",9,"disamb","rp",2,366,"Native","disamb rp",0,366,"Unambiguous","Consistent"
"9655","Native 2",16,"disamb","rp",1,180,"Native","disamb rp",0,180,"Ambiguous","Consistent"
"9656","Native 2",1,"disamb","rp",2,182,"Native","disamb rp",0,182,"Unambiguous","Consistent"
"9659","Native 2",13,"disamb","rp",2,0,"Native","disamb rp",1,NA,"Unambiguous","Consistent"
"9660","Native 2",10,"disamb","rp",3,322,"Native","disamb rp",0,322,"Ambiguous","Inconsistent"
"9665","Native 2",7,"disamb","rp",4,0,"Native","disamb rp",1,NA,"Unambiguous","Inconsistent"
"9668","Native 2",24,"disamb","rp",1,182,"Native","disamb rp",0,182,"Ambiguous","Consistent"
"9671","Native 2",23,"disamb","rp",4,191,"Native","disamb rp",0,191,"Unambiguous","Inconsistent"
"9672","Native 2",4,"disamb","rp",1,245,"Native","disamb rp",0,245,"Ambiguous","Consistent"
"9675","Native 2",19,"disamb","rp",4,341,"Native","disamb rp",0,341,"Unambiguous","Inconsistent"
"9676","Native 2",22,"disamb","rp",3,0,"Native","disamb rp",1,NA,"Ambiguous","Inconsistent"
"9679","Native 2",8,"disamb","rp",1,277,"Native","disamb rp",0,277,"Ambiguous","Consistent"
"9680","Native 2",3,"disamb","rp",4,177,"Native","disamb rp",0,177,"Unambiguous","Inconsistent"
"9681","Native 2",17,"disamb","rp",2,261,"Native","disamb rp",0,261,"Unambiguous","Consistent"
"9684","Native 2",21,"disamb","rp",2,0,"Native","disamb rp",1,NA,"Unambiguous","Consistent"
"9685","Native 2",14,"disamb","rp",3,0,"Native","disamb rp",1,NA,"Ambiguous","Inconsistent"
"9686","Native 2",18,"disamb","rp",3,1452,"Native","disamb rp",0,1452,"Ambiguous","Inconsistent"
"9688","Native 2",6,"disamb","rp",3,0,"Native","disamb rp",1,NA,"Ambiguous","Inconsistent"
"9690","Native 2",11,"disamb","rp",4,223,"Native","disamb rp",0,223,"Unambiguous","Inconsistent"
"9691","Native 2",15,"disamb","rp",4,0,"Native","disamb rp",1,NA,"Unambiguous","Inconsistent"
"9694","Native 3",18,"disamb","rp",4,303,"Native","disamb rp",0,303,"Unambiguous","Inconsistent"
"9697","Native 3",4,"disamb","rp",2,153,"Native","disamb rp",0,153,"Unambiguous","Consistent"
"9701","Native 3",15,"disamb","rp",1,1329,"Native","disamb rp",0,1329,"Ambiguous","Consistent"
"9702","Native 3",10,"disamb","rp",4,320,"Native","disamb rp",0,320,"Unambiguous","Inconsistent"
"9703","Native 3",23,"disamb","rp",1,343,"Native","disamb rp",0,343,"Ambiguous","Consistent"
"9704","Native 3",17,"disamb","rp",3,184,"Native","disamb rp",0,184,"Ambiguous","Inconsistent"
"9706","Native 3",9,"disamb","rp",3,379,"Native","disamb rp",0,379,"Ambiguous","Inconsistent"
"9707","Native 3",22,"disamb","rp",4,305,"Native","disamb rp",0,305,"Unambiguous","Inconsistent"
"9716","Native 3",13,"disamb","rp",3,1086,"Native","disamb rp",0,1086,"Ambiguous","Inconsistent"
"9717","Native 3",1,"disamb","rp",3,732,"Native","disamb rp",0,732,"Ambiguous","Inconsistent"
"9718","Native 3",5,"disamb","rp",3,446,"Native","disamb rp",0,446,"Ambiguous","Inconsistent"
"9720","Native 3",11,"disamb","rp",1,832,"Native","disamb rp",0,832,"Ambiguous","Consistent"
"9721","Native 3",16,"disamb","rp",2,666,"Native","disamb rp",0,666,"Unambiguous","Consistent"
"9722","Native 3",6,"disamb","rp",4,218,"Native","disamb rp",0,218,"Unambiguous","Inconsistent"
"9723","Native 3",21,"disamb","rp",3,224,"Native","disamb rp",0,224,"Ambiguous","Inconsistent"
"9724","Native 3",3,"disamb","rp",1,225,"Native","disamb rp",0,225,"Ambiguous","Consistent"
"9726","Native 3",7,"disamb","rp",1,878,"Native","disamb rp",0,878,"Ambiguous","Consistent"
"9731","Native 3",14,"disamb","rp",4,951,"Native","disamb rp",0,951,"Unambiguous","Inconsistent"
"9732","Native 3",19,"disamb","rp",1,634,"Native","disamb rp",0,634,"Ambiguous","Consistent"
"9733","Native 3",20,"disamb","rp",2,290,"Native","disamb rp",0,290,"Unambiguous","Consistent"
"9735","Native 3",8,"disamb","rp",2,269,"Native","disamb rp",0,269,"Unambiguous","Consistent"
"9736","Native 3",2,"disamb","rp",4,617,"Native","disamb rp",0,617,"Unambiguous","Inconsistent"
"9738","Native 3",24,"disamb","rp",2,273,"Native","disamb rp",0,273,"Unambiguous","Consistent"
"9739","Native 3",12,"disamb","rp",2,143,"Native","disamb rp",0,143,"Unambiguous","Consistent"
"9740","Native 4",5,"disamb","rp",4,1558,"Native","disamb rp",0,1558,"Unambiguous","Inconsistent"
"9741","Native 4",10,"disamb","rp",1,234,"Native","disamb rp",0,234,"Ambiguous","Consistent"
"9744","Native 4",12,"disamb","rp",3,2078,"Native","disamb rp",0,2078,"Ambiguous","Inconsistent"
"9745","Native 4",14,"disamb","rp",1,697,"Native","disamb rp",0,697,"Ambiguous","Consistent"
"9748","Native 4",11,"disamb","rp",2,924,"Native","disamb rp",0,924,"Unambiguous","Consistent"
"9750","Native 4",18,"disamb","rp",1,749,"Native","disamb rp",0,749,"Ambiguous","Consistent"
"9751","Native 4",7,"disamb","rp",2,233,"Native","disamb rp",0,233,"Unambiguous","Consistent"
"9753","Native 4",20,"disamb","rp",3,666,"Native","disamb rp",0,666,"Ambiguous","Inconsistent"
"9754","Native 4",22,"disamb","rp",1,708,"Native","disamb rp",0,708,"Ambiguous","Consistent"
"9757","Native 4",16,"disamb","rp",3,624,"Native","disamb rp",0,624,"Ambiguous","Inconsistent"
"9758","Native 4",17,"disamb","rp",4,238,"Native","disamb rp",0,238,"Unambiguous","Inconsistent"
"9762","Native 4",2,"disamb","rp",1,271,"Native","disamb rp",0,271,"Ambiguous","Consistent"
