"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"17272","Native 1",6,"spillover","rp",2,462,"Native","spillover rp",0,462,"Unambiguous","Consistent"
"17275","Native 1",1,"spillover","rp",1,284,"Native","spillover rp",0,284,"Ambiguous","Consistent"
"17276","Native 1",16,"spillover","rp",4,211,"Native","spillover rp",0,211,"Unambiguous","Inconsistent"
"17278","Native 1",13,"spillover","rp",1,190,"Native","spillover rp",0,190,"Ambiguous","Consistent"
"17279","Native 1",3,"spillover","rp",3,448,"Native","spillover rp",0,448,"Ambiguous","Inconsistent"
"17281","Native 1",10,"spillover","rp",2,138,"Native","spillover rp",0,138,"Unambiguous","Consistent"
"17283","Native 1",7,"spillover","rp",3,447,"Native","spillover rp",0,447,"Ambiguous","Inconsistent"
"17285","Native 1",20,"spillover","rp",4,326,"Native","spillover rp",0,326,"Unambiguous","Inconsistent"
"17286","Native 1",4,"spillover","rp",4,323,"Native","spillover rp",0,323,"Unambiguous","Inconsistent"
"17287","Native 1",8,"spillover","rp",4,1373,"Native","spillover rp",0,1373,"Unambiguous","Inconsistent"
"17289","Native 1",15,"spillover","rp",3,899,"Native","spillover rp",0,899,"Ambiguous","Inconsistent"
"17291","Native 1",22,"spillover","rp",2,646,"Native","spillover rp",0,646,"Unambiguous","Consistent"
"17293","Native 1",19,"spillover","rp",3,263,"Native","spillover rp",0,263,"Ambiguous","Inconsistent"
"17296","Native 1",12,"spillover","rp",4,396,"Native","spillover rp",0,396,"Unambiguous","Inconsistent"
"17299","Native 1",23,"spillover","rp",3,706,"Native","spillover rp",0,706,"Ambiguous","Inconsistent"
"17301","Native 1",17,"spillover","rp",1,367,"Native","spillover rp",0,367,"Ambiguous","Consistent"
"17302","Native 1",21,"spillover","rp",1,252,"Native","spillover rp",0,252,"Ambiguous","Consistent"
"17306","Native 1",24,"spillover","rp",4,952,"Native","spillover rp",0,952,"Unambiguous","Inconsistent"
"17308","Native 1",14,"spillover","rp",2,377,"Native","spillover rp",0,377,"Unambiguous","Consistent"
"17309","Native 1",11,"spillover","rp",3,822,"Native","spillover rp",0,822,"Ambiguous","Inconsistent"
"17310","Native 1",9,"spillover","rp",1,0,"Native","spillover rp",1,NA,"Ambiguous","Consistent"
"17314","Native 1",5,"spillover","rp",1,854,"Native","spillover rp",0,854,"Ambiguous","Consistent"
"17315","Native 1",2,"spillover","rp",2,187,"Native","spillover rp",0,187,"Unambiguous","Consistent"
